timestamp,GHI_W_m2,DHI_W_m2,elevation_deg,azimuth_deg,Q_sol_W
2024-01-01 00:00:00,0.0,0.0,-59.842,17.929,0.0
2024-01-01 01:00:00,0.0,0.0,-55.21,42.309,0.0
2024-01-01 02:00:00,0.0,0.0,-47.99,61.353,0.0
2024-01-01 03:00:00,0.0,0.0,-39.442,76.4,0.0
2024-01-01 04:00:00,0.0,0.0,-30.358,89.094,0.0
2024-01-01 05:00:00,0.0,0.0,-21.233,100.605,0.0
2024-01-01 06:00:00,0.0,0.0,-12.435,111.719,0.0
2024-01-01 07:00:00,0.0,0.0,-4.297,122.986,0.0
2024-01-01 08:00:00,11.1,11.1,3.072,134.799,86.771
2024-01-01 09:00:00,38.9,38.9,8.7,147.401,303.698
2024-01-01 10:00:00,102.8,102.8,12.676,160.834,802.63
2024-01-01 11:00:00,88.9,88.9,14.6,174.888,694.167
2024-01-01 12:00:00,80.6,80.6,14.283,189.127,629.089
2024-01-01 13:00:00,55.6,55.6,11.758,203.044,433.854
2024-01-01 14:00:00,33.3,33.3,7.267,216.256,260.312
2024-01-01 15:00:00,13.9,13.9,1.329,228.626,108.464
2024-01-01 16:00:00,0.0,0.0,-6.487,240.259,0.0
2024-01-01 17:00:00,0.0,0.0,-14.841,251.443,0.0
2024-01-01 18:00:00,0.0,0.0,-23.761,262.613,0.0
2024-01-01 19:00:00,0.0,0.0,-32.91,274.374,0.0
2024-01-01 20:00:00,0.0,0.0,-41.896,287.602,0.0
2024-01-01 21:00:00,0.0,0.0,-50.158,303.604,0.0
2024-01-01 22:00:00,0.0,0.0,-56.783,324.082,0.0
2024-01-01 23:00:00,0.0,0.0,-60.396,349.831,0.0
2024-01-02 00:00:00,0.0,0.0,-59.785,17.685,0.0
2024-01-02 01:00:00,0.0,0.0,-55.186,42.076,0.0
2024-01-02 02:00:00,0.0,0.0,-47.987,61.15,0.0
2024-01-02 03:00:00,0.0,0.0,-39.45,76.225,0.0
2024-01-02 04:00:00,0.0,0.0,-30.368,88.937,0.0
2024-01-02 05:00:00,0.0,0.0,-21.241,100.46,0.0
2024-01-02 06:00:00,0.0,0.0,-12.437,111.579,0.0
2024-01-02 07:00:00,0.0,0.0,-4.289,122.849,0.0
2024-01-02 08:00:00,2.8,2.8,3.093,134.664,21.693
2024-01-02 09:00:00,13.9,13.9,8.739,147.269,108.464
2024-01-02 10:00:00,25.0,25.0,12.734,160.707,195.234
2024-01-02 11:00:00,36.1,36.1,14.677,174.771,282.005
2024-01-02 12:00:00,22.2,22.2,14.378,189.025,173.542
2024-01-02 13:00:00,27.8,27.8,11.867,202.96,216.927
2024-01-02 14:00:00,27.8,27.8,7.386,216.189,216.927
2024-01-02 15:00:00,2.8,2.8,1.444,228.575,21.693
2024-01-02 16:00:00,0.0,0.0,-6.354,240.22,0.0
2024-01-02 17:00:00,0.0,0.0,-14.706,251.413,0.0
2024-01-02 18:00:00,0.0,0.0,-23.625,262.586,0.0
2024-01-02 19:00:00,0.0,0.0,-32.774,274.346,0.0
2024-01-02 20:00:00,0.0,0.0,-41.761,287.564,0.0
2024-01-02 21:00:00,0.0,0.0,-50.026,303.539,0.0
2024-01-02 22:00:00,0.0,0.0,-56.66,323.963,0.0
2024-01-02 23:00:00,0.0,0.0,-60.296,349.636,0.0
2024-01-03 00:00:00,0.0,0.0,-59.72,17.441,0.0
2024-01-03 01:00:00,0.0,0.0,-55.155,41.838,0.0
2024-01-03 02:00:00,0.0,0.0,-47.978,60.943,0.0
2024-01-03 03:00:00,0.0,0.0,-39.451,76.044,0.0
2024-01-03 04:00:00,0.0,0.0,-30.373,88.775,0.0
2024-01-03 05:00:00,0.0,0.0,-21.243,100.309,0.0
2024-01-03 06:00:00,0.0,0.0,-12.433,111.436,0.0
2024-01-03 07:00:00,0.0,0.0,-4.274,122.709,0.0
2024-01-03 08:00:00,13.9,11.1,3.121,134.527,91.109
2024-01-03 09:00:00,25.0,25.0,8.785,147.135,195.234
2024-01-03 10:00:00,33.3,33.3,12.799,160.579,260.312
2024-01-03 11:00:00,30.6,30.6,14.762,174.655,238.62
2024-01-03 12:00:00,80.6,72.2,14.48,188.925,732.327
2024-01-03 13:00:00,47.2,44.4,11.983,202.879,419.556
2024-01-03 14:00:00,25.0,25.0,7.511,216.127,195.234
2024-01-03 15:00:00,13.9,11.1,1.566,228.529,91.109
2024-01-03 16:00:00,0.0,0.0,-6.217,240.186,0.0
2024-01-03 17:00:00,0.0,0.0,-14.566,251.388,0.0
2024-01-03 18:00:00,0.0,0.0,-23.484,262.566,0.0
2024-01-03 19:00:00,0.0,0.0,-32.633,274.325,0.0
2024-01-03 20:00:00,0.0,0.0,-41.62,287.534,0.0
2024-01-03 21:00:00,0.0,0.0,-49.888,303.483,0.0
2024-01-03 22:00:00,0.0,0.0,-56.531,323.853,0.0
2024-01-03 23:00:00,0.0,0.0,-60.188,349.446,0.0
2024-01-04 00:00:00,0.0,0.0,-59.648,17.197,0.0
2024-01-04 01:00:00,0.0,0.0,-55.116,41.597,0.0
2024-01-04 02:00:00,0.0,0.0,-47.961,60.73,0.0
