timestamp,GHI_W_m2,DHI_W_m2,elevation_deg,azimuth_deg,Q_sol_W
2024-01-01 00:00:00,0.000,0.000,-58.036,29.234,0.000
2024-01-01 01:00:00,0.000,0.000,-52.115,51.168,0.000
2024-01-01 02:00:00,0.000,0.000,-44.221,68.241,0.000
2024-01-01 03:00:00,0.000,0.000,-35.395,82.108,0.000
2024-01-01 04:00:00,0.000,0.000,-26.273,94.199,0.000
2024-01-01 05:00:00,0.000,0.000,-17.279,105.491,0.000
2024-01-01 06:00:00,0.000,0.000,-8.759,116.646,0.000
2024-01-01 07:00:00,0.000,0.000,-1.047,128.142,0.000
2024-01-01 08:00:00,22.765,17.756,5.500,140.306,708.898
2024-01-01 09:00:00,43.303,33.777,10.506,153.298,917.822
2024-01-01 10:00:00,55.876,43.583,13.607,167.052,1017.969
2024-01-01 11:00:00,59.624,46.507,14.540,181.249,1013.630
2024-01-01 12:00:00,54.294,42.349,13.215,195.401,1008.686
2024-01-01 13:00:00,40.248,31.394,9.757,209.038,888.773
2024-01-01 14:00:00,18.444,14.386,4.454,221.883,193.585
2024-01-01 15:00:00,0.000,0.000,-2.324,233.912,0.000
2024-01-01 16:00:00,0.000,0.000,-10.203,245.321,0.000
2024-01-01 17:00:00,0.000,0.000,-18.829,256.461,0.000
2024-01-01 18:00:00,0.000,0.000,-27.872,267.838,0.000
2024-01-01 19:00:00,0.000,0.000,-36.977,280.159,0.000
2024-01-01 20:00:00,0.000,0.000,-45.694,294.470,0.000
2024-01-01 21:00:00,0.000,0.000,-53.331,312.283,0.000
2024-01-01 22:00:00,0.000,0.000,-58.764,335.168,0.000
2024-01-01 23:00:00,0.000,0.000,-60.554,2.460,0.000
2024-01-02 00:00:00,0.000,0.000,-57.992,29.002,0.000
2024-01-02 01:00:00,0.000,0.000,-52.098,50.958,0.000
2024-01-02 02:00:00,0.000,0.000,-44.220,68.059,0.000
2024-01-02 03:00:00,0.000,0.000,-35.401,81.948,0.000
2024-01-02 04:00:00,0.000,0.000,-26.279,94.054,0.000
2024-01-02 05:00:00,0.000,0.000,-17.282,105.354,0.000
2024-01-02 06:00:00,0.000,0.000,-8.754,116.514,0.000
2024-01-02 07:00:00,0.000,0.000,-1.031,128.012,0.000
2024-01-02 08:00:00,22.889,17.853,5.530,140.178,710.068
2024-01-02 09:00:00,43.495,33.926,10.552,153.174,919.879
2024-01-02 10:00:00,56.137,43.787,13.672,166.935,1020.928
2024-01-02 11:00:00,59.955,46.765,14.622,181.145,1016.508
2024-01-02 12:00:00,54.689,42.657,13.313,195.312,1012.424
2024-01-02 13:00:00,40.696,31.743,9.866,208.966,893.271
2024-01-02 14:00:00,18.931,14.767,4.572,221.826,198.701
2024-01-02 15:00:00,0.000,0.000,-2.201,233.869,0.000
2024-01-02 16:00:00,0.000,0.000,-10.076,245.287,0.000
2024-01-02 17:00:00,0.000,0.000,-18.701,256.434,0.000
2024-01-02 18:00:00,0.000,0.000,-27.743,267.812,0.000
2024-01-02 19:00:00,0.000,0.000,-36.849,280.128,0.000
2024-01-02 20:00:00,0.000,0.000,-45.568,294.423,0.000
2024-01-02 21:00:00,0.000,0.000,-53.211,312.200,0.000
2024-01-02 22:00:00,0.000,0.000,-58.658,335.022,0.000
2024-01-02 23:00:00,0.000,0.000,-60.476,2.248,0.000
2024-01-03 00:00:00,0.000,0.000,-57.941,28.768,0.000
2024-01-03 01:00:00,0.000,0.000,-52.074,50.743,0.000
2024-01-03 02:00:00,0.000,0.000,-44.213,67.872,0.000
2024-01-03 03:00:00,0.000,0.000,-35.401,81.783,0.000
2024-01-03 04:00:00,0.000,0.000,-26.280,93.905,0.000
2024-01-03 05:00:00,0.000,0.000,-17.279,105.214,0.000
2024-01-03 06:00:00,0.000,0.000,-8.744,116.379,0.000
2024-01-03 07:00:00,0.000,0.000,-1.009,127.880,0.000
2024-01-03 08:00:00,23.040,17.971,5.567,140.049,711.509
2024-01-03 09:00:00,43.713,34.096,10.606,153.049,922.209
2024-01-03 10:00:00,56.426,44.012,13.744,166.819,1024.155
2024-01-03 11:00:00,60.313,47.044,14.711,181.041,1019.656
2024-01-03 12:00:00,55.109,42.985,13.417,195.226,1016.424
2024-01-03 13:00:00,41.169,32.111,9.982,208.897,898.018
