building,SAC energy [kWh],HC energy [kWh],energy saving [%],SAC cost [€],HC cost [€],cost saving [%],SAC comfort [%],HC comfort [%],SAC under [%],HC under [%],SAC cycles,HC cycles
vonovia_model,1945.5,1890.7,-2.9,556.45,545.43,-2.0,78.5,45.0,20.1,53.1,182,99
sfh_1919_1948_0_soc,13423.0,6450.8,-108.1,3800.75,1854.44,-105.0,29.2,0.0,61.8,100.0,0,2
sfh_1949_1957_0_soc,4856.7,4450.2,-9.1,1390.17,1278.69,-8.7,52.5,38.9,34.5,60.8,0,2
sfh_1958_1968_0_soc,4335.2,4655.5,6.9,1238.14,1337.48,7.4,21.9,19.3,72.4,80.7,0,2
sfh_1969_1978_0_soc,4707.6,3680.2,-27.9,1349.97,1058.79,-27.5,16.7,0.2,81.9,99.8,3,13
sfh_1979_1983_0_soc,3494.0,2695.9,-29.6,1002.25,776.6,-29.1,9.8,0.0,90.0,100.0,27,41
sfh_1984_1994_0_soc,2788.0,2517.8,-10.7,798.8,724.38,-10.3,8.1,0.2,91.9,99.8,33,39
sfh_1995_2001_0_soc,1729.8,1842.3,6.1,493.67,530.12,6.9,2.9,9.5,97.1,90.5,148,101
sfh_2002_2009_0_soc,1138.6,1240.9,8.2,329.46,361.78,8.9,0.3,4.4,99.7,95.6,281,129
sfh_2010_2015_0_soc,1944.4,1540.1,-26.2,557.79,446.78,-24.8,3.5,0.0,96.5,100.0,178,103
sfh_2016_now_0_soc,1557.9,1268.1,-22.9,447.0,369.52,-21.0,5.9,0.0,94.1,100.0,216,117
