building,SAC energy [kWh],HC energy [kWh],energy saving [%],SAC cost [€],HC cost [€],cost saving [%],SAC comfort [%],HC comfort [%],SAC under [%],HC under [%],SAC cycles,HC cycles
vonovia_model,1715.2,1890.7,9.3,497.19,545.43,8.8,18.7,45.0,74.4,53.1,302,99
sfh_1919_1948_0_soc,11065.7,6450.8,-71.5,3155.77,1854.44,-70.2,11.9,0.0,87.8,100.0,44,2
sfh_1949_1957_0_soc,5116.1,4450.2,-15.0,1484.67,1278.69,-16.1,47.4,38.9,47.9,60.8,2,2
sfh_1958_1968_0_soc,6386.3,4655.5,-37.2,1848.25,1337.48,-38.2,48.4,19.3,29.2,80.7,3,2
sfh_1969_1978_0_soc,5866.3,3680.2,-59.4,1698.05,1058.79,-60.4,39.0,0.2,55.6,99.8,63,13
sfh_1979_1983_0_soc,4022.2,2695.9,-49.2,1165.4,776.6,-50.1,30.5,0.0,67.5,100.0,188,41
sfh_1984_1994_0_soc,2949.8,2517.8,-17.2,857.54,724.38,-18.4,14.1,0.2,84.1,99.8,204,39
sfh_1995_2001_0_soc,1445.6,1842.3,21.5,424.22,530.12,20.0,3.0,9.5,91.8,90.5,296,101
sfh_2002_2009_0_soc,813.7,1240.9,34.4,243.71,361.78,32.6,2.4,4.4,92.5,95.6,268,129
sfh_2010_2015_0_soc,1506.6,1540.1,2.2,442.17,446.78,1.0,4.1,0.0,92.3,100.0,259,103
sfh_2016_now_0_soc,1079.9,1268.1,14.8,319.86,369.52,13.4,3.1,0.0,92.6,100.0,231,117
