building,SAC energy [kWh],HC energy [kWh],energy saving [%],SAC cost [€],HC cost [€],cost saving [%],SAC comfort [%],HC comfort [%],SAC under [%],HC under [%],SAC cycles,HC cycles
vonovia_model,2183.0,1890.7,-15.5,627.67,545.43,-15.1,61.2,45.0,0.0,53.1,216,99
sfh_1919_1948_0_soc,13644.3,6450.8,-111.5,3862.13,1854.44,-108.3,28.1,0.0,60.9,100.0,0,2
sfh_1949_1957_0_soc,5698.8,4450.2,-28.1,1640.91,1278.69,-28.3,63.1,38.9,6.0,60.8,0,2
sfh_1958_1968_0_soc,4690.6,4655.5,-0.8,1350.14,1337.48,-0.9,23.8,19.3,74.4,80.7,0,2
sfh_1969_1978_0_soc,5756.2,3680.2,-56.4,1655.31,1058.79,-56.3,62.4,0.2,34.1,99.8,9,13
sfh_1979_1983_0_soc,4259.6,2695.9,-58.0,1223.92,776.6,-57.6,69.6,0.0,29.9,100.0,48,41
sfh_1984_1994_0_soc,3217.2,2517.8,-27.8,925.1,724.38,-27.7,36.0,0.2,64.0,99.8,65,39
sfh_1995_2001_0_soc,1824.5,1842.3,1.0,523.75,530.12,1.2,4.3,9.5,95.6,90.5,215,101
sfh_2002_2009_0_soc,1301.4,1240.9,-4.9,376.38,361.78,-4.0,5.8,4.4,93.5,95.6,338,129
sfh_2010_2015_0_soc,2348.4,1540.1,-52.5,674.7,446.78,-51.0,78.6,0.0,18.4,100.0,215,103
sfh_2016_now_0_soc,1876.4,1268.1,-48.0,539.84,369.52,-46.1,70.4,0.0,24.5,100.0,264,117
