building,SAC energy [kWh],HC energy [kWh],energy saving [%],SAC cost [€],HC cost [€],cost saving [%],SAC comfort [%],HC comfort [%],SAC under [%],HC under [%],SAC cycles,HC cycles
vonovia_model,1489.5,1890.7,21.2,437.47,545.43,19.8,5.2,45.0,87.2,53.1,234,99
sfh_1919_1948_0_soc,13607.0,6450.8,-110.9,3850.64,1854.44,-107.6,28.1,0.0,61.0,100.0,0,2
sfh_1949_1957_0_soc,5558.4,4450.2,-24.9,1613.85,1278.69,-26.2,47.7,38.9,33.9,60.8,0,2
sfh_1958_1968_0_soc,6012.3,4655.5,-29.1,1741.31,1337.48,-30.2,48.2,19.3,38.8,80.7,0,2
sfh_1969_1978_0_soc,6639.6,3680.2,-80.4,1918.37,1058.79,-81.2,37.5,0.2,36.0,99.8,13,13
sfh_1979_1983_0_soc,4641.9,2695.9,-72.2,1342.69,776.6,-72.9,26.7,0.0,48.7,100.0,70,41
sfh_1984_1994_0_soc,3072.8,2517.8,-22.0,894.64,724.38,-23.5,18.7,0.2,78.1,99.8,75,39
sfh_1995_2001_0_soc,1288.2,1842.3,30.1,381.12,530.12,28.1,3.9,9.5,92.0,90.5,236,101
sfh_2002_2009_0_soc,660.6,1240.9,46.8,203.21,361.78,43.8,3.7,4.4,92.1,95.6,93,129
sfh_2010_2015_0_soc,1691.8,1540.1,-9.8,497.65,446.78,-11.4,8.6,0.0,84.2,100.0,241,103
sfh_2016_now_0_soc,1081.2,1268.1,14.7,323.59,369.52,12.4,4.3,0.0,88.5,100.0,165,117
