timestamp,T_amb,price_eur_kwh
2021-01-01 00:00:00,0.5,0.2161353
2021-01-01 01:00:00,0.1,0.2129461
2021-01-01 02:00:00,-0.4,0.2087692
2021-01-01 03:00:00,-1.0,0.2066748
2021-01-01 04:00:00,-1.1,0.2036641
2021-01-01 05:00:00,0.3,0.203438
2021-01-01 06:00:00,0.8,0.2027597
2021-01-01 07:00:00,0.8,0.2033071
2021-01-01 08:00:00,1.1,0.2047113
2021-01-01 09:00:00,0.1,0.2090072
2021-01-01 10:00:00,1.4,0.20915
2021-01-01 11:00:00,3.1,0.211768
2021-01-01 12:00:00,3.8,0.2160282
2021-01-01 13:00:00,4.2,0.2097331
2021-01-01 14:00:00,4.1,0.2088287
2021-01-01 15:00:00,3.8,0.2110421
2021-01-01 16:00:00,3.2,0.2186581
2021-01-01 17:00:00,3.2,0.2273094
2021-01-01 18:00:00,3.0,0.2277259
2021-01-01 19:00:00,3.0,0.2274284
2021-01-01 20:00:00,2.4,0.223906
2021-01-01 21:00:00,2.9,0.2196934
2021-01-01 22:00:00,2.7,0.2192055
2021-01-01 23:00:00,2.5,0.2147668
2021-01-02 00:00:00,2.4,0.2111611
2021-01-02 01:00:00,2.6,0.2060917
2021-01-02 02:00:00,2.5,0.2044971
2021-01-02 03:00:00,2.5,0.2032
2021-01-02 04:00:00,2.4,0.2002845
2021-01-02 05:00:00,2.2,0.20201
2021-01-02 06:00:00,2.1,0.2056871
2021-01-02 07:00:00,2.1,0.2091024
2021-01-02 08:00:00,2.0,0.2132555
2021-01-02 09:00:00,2.8,0.21748
2021-01-02 10:00:00,3.8,0.21748
2021-01-02 11:00:00,4.3,0.2176585
2021-01-02 12:00:00,4.6,0.2221805
2021-01-02 13:00:00,4.8,0.21748
2021-01-02 14:00:00,4.7,0.2159211
2021-01-02 15:00:00,4.3,0.2192055
2021-01-02 16:00:00,3.9,0.2269881
2021-01-02 17:00:00,3.8,0.22938
2021-01-02 18:00:00,3.4,0.2306652
2021-01-02 19:00:00,3.5,0.2295823
2021-01-02 20:00:00,2.9,0.2270357
2021-01-02 21:00:00,3.0,0.2210857
2021-01-02 22:00:00,2.8,0.2177775
2021-01-02 23:00:00,2.6,0.2132555
2021-01-03 00:00:00,2.8,0.2104709
2021-01-03 01:00:00,2.8,0.20677
2021-01-03 02:00:00,3.0,0.2026645
2021-01-03 03:00:00,3.0,0.1974642
2021-01-03 04:00:00,2.8,0.1954055
2021-01-03 05:00:00,2.8,0.1941203
2021-01-03 06:00:00,2.7,0.193323
2021-01-03 07:00:00,2.6,0.1944297
2021-01-03 08:00:00,2.5,0.199511
2021-01-03 09:00:00,2.7,0.1995824
2021-01-03 10:00:00,2.9,0.1995824
2021-01-03 11:00:00,3.1,0.2076268
2021-01-03 12:00:00,2.5,0.2123749
2021-01-03 13:00:00,2.2,0.2036879
2021-01-03 14:00:00,2.1,0.2027954
2021-01-03 15:00:00,2.0,0.2026883
2021-01-03 16:00:00,1.8,0.1985709
2021-01-03 17:00:00,1.7,0.2091976
2021-01-03 18:00:00,1.5,0.2181464
2021-01-03 19:00:00,1.3,0.2101496
2021-01-03 20:00:00,0.9,0.1982377
2021-01-03 21:00:00,1.2,0.1952389
2021-01-03 22:00:00,1.2,0.1972262
2021-01-03 23:00:00,1.4,0.1881941
2021-01-04 00:00:00,1.6,0.1905027
2021-01-04 01:00:00,1.5,0.1851358
2021-01-04 02:00:00,1.2,0.1849335
2021-01-04 03:00:00,0.8,0.185112
2021-01-04 04:00:00,1.1,0.1885749
2021-01-04 05:00:00,1.6,0.1896102
2021-01-04 06:00:00,1.8,0.1996776
2021-01-04 07:00:00,1.8,0.2175157
2021-01-04 08:00:00,1.7,0.2219544
2021-01-04 09:00:00,1.6,0.2235014
2021-01-04 10:00:00,1.6,0.2236442
2021-01-04 11:00:00,1.4,0.227
2021-01-04 12:00:00,1.7,0.2285113
2021-01-04 13:00:00,1.7,0.2273332
2021-01-04 14:00:00,1.5,0.2270833
2021-01-04 15:00:00,1.5,0.2263574
2021-01-04 16:00:00,1.4,0.2293681
2021-01-04 17:00:00,1.3,0.2351158
2021-01-04 18:00:00,1.3,0.2293443
2021-01-04 19:00:00,1.1,0.2211214
2021-01-04 20:00:00,1.2,0.2119346
2021-01-04 21:00:00,1.2,0.2099116
2021-01-04 22:00:00,1.2,0.2138267
2021-01-04 23:00:00,1.1,0.2087216
2021-01-05 00:00:00,1.1,0.2002726
2021-01-05 01:00:00,1.1,0.2032833
2021-01-05 02:00:00,1.1,0.2029739
2021-01-05 03:00:00,1.2,0.2027835
2021-01-05 04:00:00,1.2,0.203438
2021-01-05 05:00:00,1.2,0.2082694
2021-01-05 06:00:00,1.1,0.2116014
2021-01-05 07:00:00,1.1,0.2210024
2021-01-05 08:00:00,1.2,0.2313673
2021-01-05 09:00:00,1.4,0.2326287
2021-01-05 10:00:00,1.5,0.2342233
2021-01-05 11:00:00,1.9,0.2341043
2021-01-05 12:00:00,2.2,0.2334974
2021-01-05 13:00:00,2.6,0.2315458
2021-01-05 14:00:00,2.9,0.2316053
2021-01-05 15:00:00,2.8,0.2318195
2021-01-05 16:00:00,2.9,0.2320694
2021-01-05 17:00:00,3.2,0.2354966
2021-01-05 18:00:00,3.2,0.2289159
2021-01-05 19:00:00,3.3,0.2260004
2021-01-05 20:00:00,3.3,0.2261194
2021-01-05 21:00:00,3.2,0.2194078
2021-01-05 22:00:00,3.1,0.2196934
2021-01-05 23:00:00,3.0,0.2127081
2021-01-06 00:00:00,2.9,0.2084479
2021-01-06 01:00:00,2.8,0.2066986
2021-01-06 02:00:00,2.7,0.2066272
2021-01-06 03:00:00,2.5,0.2057585
2021-01-06 04:00:00,2.4,0.2070437
2021-01-06 05:00:00,2.2,0.2086264
2021-01-06 06:00:00,1.5,0.212006
2021-01-06 07:00:00,1.1,0.2080195
2021-01-06 08:00:00,0.8,0.2191579
2021-01-06 09:00:00,0.9,0.220812
2021-01-06 10:00:00,1.0,0.2197886
2021-01-06 11:00:00,1.3,0.224977
2021-01-06 12:00:00,1.6,0.2287017
2021-01-06 13:00:00,1.4,0.2292848
2021-01-06 14:00:00,1.1,0.22343
2021-01-06 15:00:00,0.8,0.2240607
2021-01-06 16:00:00,0.5,0.2289992
2021-01-06 17:00:00,0.4,0.2291896
2021-01-06 18:00:00,0.2,0.2239774
2021-01-06 19:00:00,0.1,0.2246914
2021-01-06 20:00:00,0.2,0.2269643
2021-01-06 21:00:00,0.1,0.2186105
2021-01-06 22:00:00,0.1,0.2186105
2021-01-06 23:00:00,0.1,0.2145407
2021-01-07 00:00:00,0.1,0.2163257
2021-01-07 01:00:00,0.1,0.2153142
2021-01-07 02:00:00,0.1,0.2138743
2021-01-07 03:00:00,0.1,0.2111968
2021-01-07 04:00:00,0.0,0.2113753
2021-01-07 05:00:00,0.1,0.2151952
2021-01-07 06:00:00,0.0,0.2238346
2021-01-07 07:00:00,0.2,0.236282
2021-01-07 08:00:00,0.3,0.2585469
2021-01-07 09:00:00,0.4,0.2585826
2021-01-07 10:00:00,0.6,0.2568452
2021-01-07 11:00:00,0.8,0.2612006
2021-01-07 12:00:00,1.0,0.2612244
2021-01-07 13:00:00,1.1,0.2559289
2021-01-07 14:00:00,1.3,0.251276
2021-01-07 15:00:00,1.0,0.2550483
2021-01-07 16:00:00,0.6,0.2623192
2021-01-07 17:00:00,0.2,0.2746
2021-01-07 18:00:00,0.3,0.2632117
2021-01-07 19:00:00,0.4,0.2511332
2021-01-07 20:00:00,0.4,0.235092
2021-01-07 21:00:00,0.3,0.2272618
2021-01-07 22:00:00,0.4,0.2266311
2021-01-07 23:00:00,0.8,0.2177775
2021-01-08 00:00:00,0.7,0.2157307
2021-01-08 01:00:00,0.7,0.2132317
2021-01-08 02:00:00,0.7,0.2118156
2021-01-08 03:00:00,0.6,0.2098759
2021-01-08 04:00:00,0.6,0.2113039
2021-01-08 05:00:00,0.5,0.2169683
2021-01-08 06:00:00,0.2,0.2277973
2021-01-08 07:00:00,0.3,0.2502764
2021-01-08 08:00:00,0.2,0.2788126
2021-01-08 09:00:00,0.4,0.2870355
2021-01-08 10:00:00,0.6,0.2864524
2021-01-08 11:00:00,0.9,0.2827158
2021-01-08 12:00:00,0.9,0.2774203
2021-01-08 13:00:00,1.1,0.2717559
2021-01-08 14:00:00,1.1,0.26865
2021-01-08 15:00:00,1.0,0.2691498
2021-01-08 16:00:00,1.0,0.26865
2021-01-08 17:00:00,0.6,0.2865
2021-01-08 18:00:00,0.4,0.2774679
2021-01-08 19:00:00,0.4,0.2603795
2021-01-08 20:00:00,0.4,0.2320456
2021-01-08 21:00:00,0.2,0.2263217
2021-01-08 22:00:00,0.0,0.224144
2021-01-08 23:00:00,-0.5,0.2171825
2021-01-09 00:00:00,-0.3,0.2207287
2021-01-09 01:00:00,-0.2,0.2179441
2021-01-09 02:00:00,-0.3,0.2170873
2021-01-09 03:00:00,-0.2,0.2161472
2021-01-09 04:00:00,0.0,0.2151238
2021-01-09 05:00:00,-0.1,0.214029
2021-01-09 06:00:00,0.1,0.2145883
2021-01-09 07:00:00,-0.3,0.2196458
2021-01-09 08:00:00,0.1,0.226762
